Customer ID,NumInvoices,TotalQuantity,TotalSpend,FirstPurchaseDate,LastPurchaseDate,UniqueProducts,Country
12346,2,24,169.36,2010-03-02 13:08:00,2010-06-28 13:53:00,24,United Kingdom
12347,2,828,162.95,2010-10-31 14:20:00,2010-12-07 14:57:00,70,Iceland
12348,1,372,13.39,2010-09-27 14:59:00,2010-09-27 14:59:00,19,Finland
12349,2,991,425.34,2010-04-29 13:20:00,2010-10-28 08:23:00,89,Italy
12351,1,261,49.46,2010-11-29 15:23:00,2010-11-29 15:23:00,21,Unspecified
12352,2,188,54.6,2010-11-12 10:20:00,2010-11-29 10:07:00,18,Norway
12353,1,192,38.78,2010-10-27 12:44:00,2010-10-27 12:44:00,20,Bahrain
12355,1,303,52.78,2010-05-21 11:59:00,2010-05-21 11:59:00,22,Bahrain
12356,3,1804,215.38,2010-10-11 09:42:00,2010-11-24 12:24:00,67,Portugal
12357,1,3878,545.64,2010-11-16 10:05:00,2010-11-16 10:05:00,164,Switzerland
12358,3,826,216.13,2009-12-08 07:59:00,2010-11-29 10:56:00,51,Austria
12359,6,1130,553.69,2009-12-05 13:32:00,2010-10-10 11:16:00,110,Cyprus
12360,3,1287,118.22,2010-02-22 09:32:00,2010-11-12 11:31:00,73,Austria
12361,3,141,33.9,2010-01-26 14:37:00,2010-09-03 15:19:00,13,Belgium
12366,1,296,5.07,2010-03-16 10:28:00,2010-03-16 10:28:00,3,Cyprus
12368,1,330,79.05,2010-03-21 15:56:00,2010-03-21 15:56:00,18,Cyprus
12369,3,1234,172.85,2010-03-08 08:09:00,2010-10-22 13:13:00,89,Austria
12370,3,246,104.36,2010-02-09 09:41:00,2010-03-25 12:10:00,32,Austria
12371,3,836,301.85,2010-03-04 18:23:00,2010-10-26 13:37:00,90,Switzerland
12373,2,315,91.85,2010-02-04 12:08:00,2010-03-25 13:49:00,30,Austria
12374,2,1015,109.47,2010-04-30 14:01:00,2010-10-14 10:16:00,46,Austria
12376,2,237,24.400000000000002,2010-10-18 08:42:00,2010-11-15 12:15:00,10,Switzerland
12377,2,1159,167.17,2010-04-29 15:34:00,2010-11-23 19:24:00,74,Switzerland
12378,1,787,360.97,2010-05-26 14:07:00,2010-05-26 14:07:00,82,Switzerland
12379,2,403,90.9,2010-06-23 12:49:00,2010-10-13 14:46:00,36,Belgium
12380,4,2204,490.79,2010-02-15 12:05:00,2010-08-31 14:54:00,117,Belgium
12385,1,594,224.25,2010-11-25 15:14:00,2010-11-25 15:14:00,64,Belgium
12386,1,214,21.81,2010-12-08 09:53:00,2010-12-08 09:53:00,8,Australia
12387,1,134,24.86,2010-10-20 16:27:00,2010-10-20 16:27:00,9,Australia
12388,2,539,134.64000000000001,2010-05-06 12:54:00,2010-09-20 12:41:00,36,Australia
12389,3,614,130.06,2010-02-22 10:15:00,2010-11-02 11:52:00,41,Australia
12391,5,920,808.26,2010-02-15 10:12:00,2010-09-01 12:38:00,159,Cyprus
12392,1,73,35.25,2010-04-27 14:04:00,2010-04-27 14:04:00,7,Australia
12393,2,495,119.45,2010-10-07 13:49:00,2010-11-22 16:10:00,38,Australia
12395,4,1604,221.65,2010-04-16 10:16:00,2010-12-03 16:35:00,82,Belgium
12396,1,591,149.46,2010-02-03 13:22:00,2010-02-03 13:22:00,65,RSA
12399,3,1017,54.8,2010-03-05 08:45:00,2010-11-19 08:53:00,39,Belgium
12400,1,91,32.05,2010-10-21 13:45:00,2010-10-21 13:45:00,11,Australia
12402,5,484,120.15,2010-02-07 12:41:00,2010-11-12 09:50:00,39,Belgium
12403,1,162,10.530000000000001,2010-07-06 11:39:00,2010-07-06 11:39:00,3,Denmark
12406,3,1598,158.82,2010-01-11 14:04:00,2010-11-05 11:42:00,44,Denmark
12408,3,809,128.43,2010-07-29 13:27:00,2010-11-19 13:21:00,40,Belgium
12409,4,7592,464.74,2010-05-23 15:21:00,2010-10-15 10:24:00,125,Switzerland
12410,1,128,35.87,2010-07-25 13:26:00,2010-07-25 13:26:00,13,Switzerland
12411,1,138,74.7,2010-10-26 09:25:00,2010-10-26 09:25:00,22,Australia
12412,3,1162,106.57000000000001,2010-06-18 13:22:00,2010-11-02 17:02:00,49,Denmark
12413,1,31,90.69999999999999,2010-11-02 13:26:00,2010-11-02 13:26:00,12,Spain
12414,1,192,3.54,2010-09-02 12:22:00,2010-09-02 12:22:00,7,Austria
12415,4,14070,577.02,2010-06-30 08:30:00,2010-11-29 15:07:00,168,Australia
12416,1,132,16.88,2010-02-21 10:19:00,2010-02-21 10:19:00,11,Australia
12417,11,1324,824.68,2009-12-06 10:30:00,2010-10-25 14:27:00,143,Belgium
12418,3,681,220.04,2010-03-19 14:47:00,2010-10-22 10:29:00,61,Switzerland
12419,2,227,70.09,2010-10-22 10:40:00,2010-11-19 10:04:00,22,Spain
12421,2,166,50.71,2010-07-22 13:57:00,2010-10-20 14:28:00,17,Spain
12422,9,2212,328.97,2009-12-18 12:44:00,2010-11-10 13:19:00,107,Australia
12423,2,448,92.89,2010-08-31 09:31:00,2010-11-17 11:33:00,37,Denmark
12424,2,1285,117.98,2010-06-09 15:15:00,2010-10-13 10:29:00,59,Australia
12425,1,651,126.47,2010-09-17 14:10:00,2010-09-17 14:10:00,55,Portugal
12426,1,322,137.82,2010-02-15 08:41:00,2010-02-15 08:41:00,46,Germany
12427,1,76,31.25,2010-12-03 10:44:00,2010-12-03 10:44:00,9,Germany
12429,5,1779,206.72,2010-06-11 13:28:00,2010-12-09 12:05:00,69,Denmark
12431,11,1796,612.78,2010-01-15 09:04:00,2010-12-01 10:03:00,130,Belgium
12433,5,6045,576.26,2010-08-20 09:23:00,2010-12-08 16:49:00,163,Norway
12434,1,138,68.12,2010-11-23 13:38:00,2010-11-23 13:38:00,20,Australia
12435,4,2903,220.41,2009-12-02 13:58:00,2010-11-08 10:07:00,68,Denmark
12437,20,5028,760.88,2009-12-02 16:24:00,2010-11-09 14:46:00,215,France
12439,2,484,265.71,2009-12-14 08:40:00,2010-01-26 12:11:00,69,Cyprus
12440,2,328,94.34,2009-12-22 12:03:00,2010-09-03 13:11:00,20,Austria
12441,1,120,22.71,2010-12-08 10:45:00,2010-12-08 10:45:00,10,France
12443,1,179,83.28,2009-12-07 15:42:00,2009-12-07 15:42:00,20,Norway
12445,1,144,55.34,2010-10-15 12:28:00,2010-10-15 12:28:00,20,Spain
