Customer ID,NumOrders,TotalQuantity,TotalSpend,FirstPurchaseDate,LastPurchaseDate,UniqueProducts,Country,Recency,Duration,AvgSpendPerOrder,AvgQuantityPerOrder,Value
12346,2,24,169.36,2010-03-02 13:08:00,2010-06-28 13:53:00,24,United Kingdom,164,118,84.68,12.0,Medium
12347,2,828,162.95,2010-10-31 14:20:00,2010-12-07 14:57:00,70,Iceland,2,37,81.475,414.0,Medium
12348,1,372,13.39,2010-09-27 14:59:00,2010-09-27 14:59:00,19,Finland,73,0,13.39,372.0,Low
12349,2,991,425.34,2010-04-29 13:20:00,2010-10-28 08:23:00,89,Italy,42,181,212.67,495.5,High
12351,1,261,49.46,2010-11-29 15:23:00,2010-11-29 15:23:00,21,Unspecified,10,0,49.46,261.0,Medium
12352,2,188,54.6,2010-11-12 10:20:00,2010-11-29 10:07:00,18,Norway,10,16,27.3,94.0,Medium
12353,1,192,38.78,2010-10-27 12:44:00,2010-10-27 12:44:00,20,Bahrain,43,0,38.78,192.0,Medium
12355,1,303,52.78,2010-05-21 11:59:00,2010-05-21 11:59:00,22,Bahrain,202,0,52.78,303.0,Medium
12356,3,1804,215.38,2010-10-11 09:42:00,2010-11-24 12:24:00,67,Portugal,15,44,71.79333333333334,601.3333333333334,Medium
12357,1,3878,545.64,2010-11-16 10:05:00,2010-11-16 10:05:00,164,Switzerland,23,0,545.64,3878.0,Medium
12358,3,826,216.13,2009-12-08 07:59:00,2010-11-29 10:56:00,51,Austria,10,356,72.04333333333334,275.3333333333333,High
12359,6,1130,553.69,2009-12-05 13:32:00,2010-10-10 11:16:00,110,Cyprus,60,308,92.28166666666668,188.33333333333334,High
12360,3,1287,118.22,2010-02-22 09:32:00,2010-11-12 11:31:00,73,Austria,27,263,39.406666666666666,429.0,High
12361,3,141,33.9,2010-01-26 14:37:00,2010-09-03 15:19:00,13,Belgium,97,220,11.299999999999999,47.0,Low
12366,1,296,5.07,2010-03-16 10:28:00,2010-03-16 10:28:00,3,Cyprus,268,0,5.07,296.0,Low
12368,1,330,79.05,2010-03-21 15:56:00,2010-03-21 15:56:00,18,Cyprus,263,0,79.05,330.0,Medium
12369,3,1234,172.85,2010-03-08 08:09:00,2010-10-22 13:13:00,89,Austria,48,228,57.61666666666667,411.3333333333333,High
12370,3,246,104.36,2010-02-09 09:41:00,2010-03-25 12:10:00,32,Austria,259,44,34.78666666666667,82.0,Medium
12371,3,836,301.85,2010-03-04 18:23:00,2010-10-26 13:37:00,90,Switzerland,44,235,100.61666666666667,278.6666666666667,High
12373,2,315,91.85,2010-02-04 12:08:00,2010-03-25 13:49:00,30,Austria,259,49,45.925,157.5,Medium
12374,2,1015,109.47,2010-04-30 14:01:00,2010-10-14 10:16:00,46,Austria,56,166,54.735,507.5,Medium
